PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
1504548PPF,0,2021,1,0.6840,0,1,0.4814,1.0719,0.7767
1504548PZ,0,2020,1,0.9792,0,0,0.4007,1.0330,0.7168
1504548RP,0,2020,0,0.1111,0,1,0.5502,1.4921,1.0211
1504548SP1,0,2020,1,0.9188,1,0,0.4033,1.1500,0.7766
1504548SP2,0,2020,1,0.8403,1,1,0.4266,1.6315,1.0290
15046771PS20,0,2020,1,0.9211,1,0,0.3571,0.9794,0.6683
15046771PS21,1,2021,1,0.8738,1,0,0.3618,0.9673,0.6645
15046772PS21,1,2021,1,0.9688,1,0,0.4086,1.1096,0.7591
1505059AGRO1SP,0,2020,1,1.0000,1,0,0.3799,1.0367,0.7083
1505059AGRO1SP,1,2021,1,0.9410,1,0,0.4071,1.0277,0.7174
1505059AGRO2FP,0,2020,1,0.7118,0,1,0.5117,1.2070,0.8593
1505059AGRO2FP,1,2021,0,0.2063,0,0,0.4803,1.1388,0.8096
1505059AGRO3SP,0,2020,1,1.0000,1,0,0.3956,1.0476,0.7216
1505059AGRO4SP,0,2020,1,0.9792,1,0,0.3928,1.0106,0.7017
1505059AGRO4SP,1,2021,1,1.0000,1,0,0.4155,1.1437,0.7796
1505059AGRO5NP,1,2020,1,0.9265,1,1,0.5746,2.4001,1.4874
1505059AGRO5SP,0,2020,1,0.8076,1,1,0.4530,2.1993,1.3261
1505059AGRO5SP,1,2021,1,0.9444,1,0,0.4185,1.1436,0.7811
1505059AGRO6SP,0,2021,0,0.3601,1,0,0.4279,1.1786,0.8033
1505059BOCKSP,0,2020,1,0.9159,0,1,0.4157,1.2419,0.8288
1505059BOCKSP,1,2021,1,0.9410,1,0,0.3718,1.0101,0.6910
1505059BRIMHLSP,0,2021,1,0.8924,1,0,0.3747,1.0286,0.7017
1505059BRIMSP,0,2020,1,0.9259,1,0,0.3715,1.0114,0.6915
1505059CATANSSP,0,2021,1,0.7118,0,0,0.4506,1.1817,0.8162
1505059CATASSP,0,2021,0,0.2890,0,0,0.4499,1.1791,0.8145
1505059CATNFP,0,2020,1,0.8710,0,0,0.4577,1.0069,0.7323
1505059CATNFP,1,2021,0,0.0000,0,0,0.4725,1.0668,0.7696
1505059CATTANI,0,2020,0,0.2000,0,0,0.4514,0.9922,0.7218
1505059CHARLSP,0,2020,1,1.0000,1,0,0.3732,1.0051,0.6892
1505059COTWODSP,0,2021,0,0.1667,1,0,0.4054,1.2246,0.8150
1505059COULTRSP,0,2021,1,0.9410,1,0,0.3738,0.9964,0.6851
1505059COULTSP,0,2020,1,0.9792,1,0,0.3639,0.9931,0.6785
1505059DELISSP,0,2021,1,0.8988,1,0,0.4145,1.1684,0.7915
1505059ENGLE,0,2020,0,0.0833,0,0,0.5128,1.1628,0.8378
1505059ENGLEFP,0,2020,1,1.0000,0,1,0.5348,1.7756,1.1552
1505059ENGLEFP,1,2021,0,0.1042,0,0,0.4468,0.9958,0.7213
1505059F50SP,0,2020,1,0.9792,1,0,0.3779,0.9977,0.6878
1505059F50SP,1,2021,1,1.0000,1,0,0.3786,1.0065,0.6926
1505059FOPPFP,0,2020,1,0.9007,0,0,0.4540,0.9732,0.7136
1505059FUG10SP,0,2020,1,0.9722,1,0,0.3702,1.0073,0.6888
1505059FUG11SP,0,2020,1,1.0000,1,0,0.3764,1.0011,0.6887
1505059FUG12FP,0,2021,0,0.0000,0,0,0.4458,1.0221,0.7340
1505059FUG12SP,0,2020,1,0.9722,1,0,0.3775,1.0090,0.6933
1505059FUG13FP,0,2021,0,0.0000,0,0,0.4344,0.9849,0.7097
1505059FUG13SP,0,2020,1,1.0000,1,0,0.3823,1.0218,0.7020
1505059FUG14PS,0,2021,0,0.4476,1,0,0.3720,1.0063,0.6892
